ID,changetype,conversion,latitude,longitude,MGRS,blockstratum,substratum,refno_mapno,refno_maplow,refno_maphigh,reflow_mapno,reflow_maplow,reflow_maphigh,refhigh_mapno,refhigh_maplow,refhigh_maphigh,userslow,producerslow,usershigh,producershigh,usersall,producersall,overallhigh,overallall
1147060_18,Variable water,no,-19.1241348460227,132.721295149792,53KKU,waternew,3,113,0,0,57,7,0,0,0,0,1.0,0.109375,NA,NA,1.0,0.109375,1.0,0.6779661016949152
1147060_19,Fire,no,-19.1564748866779,132.751074679991,53KKU,waternew,4,158,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1150482_1,noChange,no,-19.6588239264984,133.003295907673,53KKU,waternew,3,182,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1150482_2,Variable water,no,-19.6213613039736,133.021775957287,53KKU,waternew,1,144,0,0,29,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.8323699421965318
1150482_3,Fire,no,-19.6484661664466,132.973677472418,53KKU,waternew,3,142,17,0,0,0,0,0,0,0,0.0,NA,NA,NA,0.0,NA,1.0,0.8930817610062893
1150482_4,Variable water,no,-19.6229303550925,133.016609035684,53KKU,waternew,1,84,53,0,34,0,0,0,0,0,0.0,0.0,NA,NA,0.0,0.0,1.0,0.49122807017543857
1150482_5,noChange,no,-19.6279325143345,132.979082926344,53KKU,waternew,3,182,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1150482_6,Fire,no,-19.6877385270275,132.996071289951,53KKU,waternew,3,168,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1150482_7,Fire,no,-19.6374508738435,133.031017271494,53KKU,waternew,3,162,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1150482_8,Variable water,no,-19.6245812445619,133.018876667122,53KKU,waternew,1,6,110,0,0,62,0,0,0,0,0.36046511627906974,1.0,NA,NA,0.36046511627906974,1.0,1.0,0.38202247191011235
1150482_9,Fire,no,-19.674350306193,132.986225334047,53KKU,waternew,4,149,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1150482_10,New water,no,-19.6265470369592,133.025144364021,53KKU,waternew,1,169,0,0,13,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.9285714285714286
