ID,changetype,conversion,latitude,longitude,MGRS,blockstratum,substratum,refno_mapno,refno_maplow,refno_maphigh,reflow_mapno,reflow_maplow,reflow_maphigh,refhigh_mapno,refhigh_maplow,refhigh_maphigh,userslow,producerslow,usershigh,producershigh,usersall,producersall,overallhigh,overallall
1085866_12,Fire; managed,no,-7.53553422181587,29.7761745063872,35MRM,cropnew,3,30,0,0,0,0,0,0,89,0,1.0,NA,NA,1.0,1.0,1.0,0.25210084033613445,1.0
1085866_13,Fire; savanna,no,-7.53337614209034,29.7745310120436,35MRM,cropnew,3,51,0,0,0,92,0,0,0,0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0
1085866_14,Fire; savanna,no,-7.51161444171745,29.8289851651857,35MRM,cropnew,2,0,0,0,18,0,0,0,0,98,NA,0.0,1.0,NA,1.0,0.8448275862068966,1.0,0.8448275862068966
1085866_15,noChange,no,-7.51561454815462,29.796961742125,35MRM,cropnew,1,153,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1085866_16,Fire; savanna,no,-7.50313252538823,29.7990546869457,35MRM,cropnew,3,136,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1085866_17,noChange,no,-7.47719582225519,29.8282197426057,35MRM,cropnew,4,150,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1085866_18,noChange,no,-7.51054236483463,29.78470699344,35MRM,cropnew,4,128,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1085866_19,Fire;savanna,no,-7.53099991037131,29.8071101711498,35MRM,cropnew,1,112,0,0,0,0,0,19,0,0,NA,NA,NA,0.0,NA,0.0,0.8549618320610687,0.8549618320610687
1085866_20,Fire; savanna,no,-7.53307919015806,29.8209759336214,35MRM,cropnew,1,110,0,0,0,0,0,2,0,0,NA,NA,NA,0.0,NA,0.0,0.9821428571428571,0.9821428571428571
1125880_1,noChange,no,-15.851625002551,132.278503381386,53LKC,other,3,110,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1125880_2,noChange,no,-15.8504709512646,132.272920515525,53LKC,other,2,18,0,100,0,0,0,0,0,0,NA,NA,0.0,NA,0.0,NA,0.15254237288135594,0.15254237288135594
1125880_3,Fire,no,-15.8495023307463,132.218071198518,53LKC,other,3,100,0,0,10,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.9090909090909091
1125880_4,Fire,no,-15.8463556780679,132.226231458391,53LKC,other,2,0,0,0,1,0,110,0,0,0,NA,0.990990990990991,1.0,NA,1.0,0.990990990990991,0.009009009009009009,0.990990990990991
1125880_5,Fire,no,-15.8561882699841,132.211261601766,53LKC,other,3,115,0,0,4,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.9663865546218487
1125880_6,Natural browning and greening,no,-15.8559619711282,132.300279548545,53LKC,other,4,113,0,0,6,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.9495798319327731
