ID,Block,subID,blockStratum,substratum,zone,x,y,centx,centy,long,lat,MGRS
64176_7,64176,7,wetshort,1,36,426753.2146,1055590.27,426765,1055595,32.33268449,9.548776077,36PVR
64176_8,64176,8,wetshort,4,36,433349.642,1062826.724,433335,1062825,32.39243145,9.614275919,36PVR
64176_9,64176,9,wetshort,3,36,427266.7268,1060520.947,427275,1060515,32.33724516,9.59328239,36PVR
64176_10,64176,10,wetshort,2,36,429513.4783,1061152.614,429525,1061145,32.35773815,9.59901887,36PVR
64176_11,64176,11,wetshort,1,36,431032.5721,1060571.214,431025,1060575,32.37141707,9.593888742,36PVR
64176_12,64176,12,wetshort,2,36,428843.456,1064047.067,428835,1064055,32.3514001,9.625325762,36PVR
64176_13,64176,13,wetshort,1,36,429228.1732,1061428.707,429225,1061415,32.35499965,9.601455724,36PVR
64176_14,64176,14,wetshort,3,36,428536.2467,1055140.644,428535,1055145,32.34881969,9.544736732,36PVR
64176_15,64176,15,wetshort,1,36,427156.9555,1055946.116,427155,1055955,32.33623169,9.552038787,36PVR
64176_16,64176,16,wetshort,3,36,427904.8329,1055705.649,427905,1055715,32.34306959,9.549881149,36PVR
64176_17,64176,17,wetshort,3,36,423818.4717,1059991.544,423825,1060005,32.30581568,9.588608308,36PVR
64176_18,64176,18,wetshort,1,36,426392.054,1055584.082,426405,1055595,32.32940434,9.548769771,36PVR
64176_19,64176,19,wetshort,3,36,428044.2569,1054767.633,428055,1054755,32.34445293,9.541201277,36PVR
64176_20,64176,20,wetshort,1,36,427090.9387,1056022.734,427095,1056015,32.33568394,9.552580396,36PVR
74185_1,74185,1,cropnew,2,31,724551.5313,1211997.22,724545,1211985,5.054738546,10.9569508,31PGN
74185_2,74185,2,cropnew,1,31,726273.7563,1207340.352,726285,1207335,5.07036184,10.91481596,31PGN
74185_3,74185,3,cropnew,1,31,726993.0169,1206483.654,727005,1206495,5.076893642,10.90717936,31PGN
74185_4,74185,4,cropnew,3,31,725179.1263,1206792.271,725175,1206795,5.060176998,10.91000385,31PGN
74185_5,74185,5,cropnew,3,31,725868.1805,1209803.912,725865,1209795,5.066674726,10.93707572,31PGN
74185_6,74185,6,cropnew,1,31,728677.2864,1214063.711,728685,1214055,5.092736552,10.97540186,31PGN
74185_7,74185,7,cropnew,3,31,725620.9626,1211479.468,725625,1211475,5.064584872,10.95227463,31PGN
74185_8,74185,8,cropnew,3,31,723787.9894,1209711.545,723795,1209705,5.047736995,10.93638979,31PGN
74185_9,74185,9,cropnew,1,31,730241.0995,1210763.478,730245,1210755,5.106794577,10.94547844,31PGN
74185_10,74185,10,cropnew,4,31,726498.9561,1213554.517,726495,1213545,5.072672499,10.97092948,31PGN
74185_11,74185,11,cropnew,3,31,725765.7714,1213261.182,725775,1213275,5.066069754,10.96853394,31PGN
74185_12,74185,12,cropnew,4,31,724294.2493,1209313.282,724305,1209315,5.052377199,10.93283359,31PGN
74185_13,74185,13,cropnew,1,31,728776.8128,1212930.278,728775,1212945,5.093489147,10.96536407,31PGN
74185_14,74185,14,cropnew,3,31,722383.2501,1213312.983,722385,1213305,5.035063381,10.96901383,31PGN
74185_15,74185,15,cropnew,1,31,728769.7003,1213086.053,728775,1213095,5.093498687,10.96671976,31PGN
74185_16,74185,16,cropnew,2,31,722330.3861,1208068.339,722325,1208055,5.034190697,10.92156641,31PGN
97785_1,97785,1,waternew,3,33,353156.2519,1550174.998,353145,1550175,13.64012101,14.01832345,33PUR
97785_2,97785,2,waternew,1,33,356567.7071,1548254.465,356565,1548255,13.6718839,14.00114322,33PUR
97785_3,97785,3,waternew,2,33,355247.8408,1551298.976,355245,1551285,13.65950495,14.02846566,33PUR
97785_4,97785,4,waternew,4,33,361578.1936,1548315.345,361575,1548315,13.7182619,14.0019352,33PUR
97785_5,97785,5,waternew,3,33,355923.5131,1547389.394,355935,1547385,13.66609699,13.99324681,33PUR
97785_6,97785,6,waternew,3,33,353991.8184,1546716.451,353985,1546725,13.64808027,13.98718084,33PUR
97785_7,97785,7,waternew,2,33,355110.3336,1550640.703,355125,1550655,13.65842702,14.02276463,33PUR
97785_8,97785,8,waternew,2,33,354602.6964,1545168.505,354615,1545165,13.65399413,13.97311163,33PUR
97785_9,97785,9,waternew,1,33,352755.9057,1544600.25,352755,1544595,13.63680759,13.96786314,33PUR
97785_10,97785,10,waternew,3,33,358619.4665,1552523.826,358605,1552515,13.69055107,14.03975465,33PUR
97785_11,97785,11,waternew,3,33,355003.0484,1544560.668,355005,1544565,13.65763555,13.96770789,33PUR
